year,country,type_of_violence
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,1
2015,Philippines,3
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,3
2015,Philippines,1
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,3
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,1
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,3
2015,Philippines,3
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2015,Philippines,1
2013,Philippines,3
2013,Philippines,1
2013,Philippines,3
2013,Philippines,1
2013,Philippines,1
2013,Philippines,3
